source,AI+Human,AI2+Human,Random+Human
target,Yield_CO_l,Yield_CO_l,Yield_CO_l
run0,0.8128007054328918,0.7667423486709595,0.7037129402160645
run1,0.7305306196212769,0.7061827182769775,0.6269171237945557
run2,0.8687700629234314,0.8132163882255554,0.7930811047554016
run3,0.8436782956123352,0.8178304433822632,0.8163990378379822
run4,0.805092990398407,0.7834498286247253,0.7851726412773132
run5,0.7884500622749329,0.784956693649292,0.7764506340026855
run6,0.7599983215332031,0.7917721271514893,0.7528356909751892
run7,0.8430038094520569,0.822150468826294,0.8255462050437927
run8,0.7600722312927246,0.7221107482910156,0.7028847336769104
run9,0.7870767116546631,0.7351139187812805,0.7116711139678955
r2_test_mean,0.7999473810195923,0.7743525683879853,0.7494671225547791
r2_test_max,0.8687700629234314,0.822150468826294,0.8255462050437927
r2_test_min,0.7305306196212769,0.7061827182769775,0.6269171237945557
r2_test_std,0.041227393635910416,0.03893319064099913,0.059071848918106185
