target,Yield_CO_cl,Yield_CO_l,Yield_CO_s
run0,0.5048058032989502,0.6047476530075073,0.29973864555358887
run1,0.4612160921096802,0.5381202697753906,0.2072245478630066
run2,0.6086916327476501,0.5883897542953491,0.2431415319442749
run3,0.6002202033996582,0.6714859008789062,0.7192294001579285
run4,0.6030935645103455,0.5108130574226379,0.3677505850791931
run5,0.40863972902297974,0.38099032640457153,0.5026422739028931
run6,0.6292781829833984,0.5386947989463806,0.24145859479904175
run7,0.4832890033721924,0.5866538882255554,0.4859355688095093
run8,0.29254478216171265,0.45737552642822266,0.5410928726196289
run9,0.30699247121810913,0.4808332324028015,0.2549344301223755
r2_test_mean,0.48987714648246766,0.5358104407787323,0.386314845085144
r2_test_max,0.6292781829833984,0.6714859008789062,0.7192294001579285
r2_test_min,0.29254478216171265,0.38099032640457153,0.2072245478630066
r2_test_std,0.11773580065429905,0.07892536418219478,0.16028126746128907
