,source,target,r2_test
0,AI,AATSC3d,-0.13372758626937867
1,AI,ABCGG,0.20029594302177428
2,AI,ATSC3d,-0.06259958148002624
3,AI,Kappa3,-0.11222659945487976
4,AI,VSA_EState3,0.1491127371788025
5,AI2,AATSC3d,-1.0526422441005707
6,AI2,ABCGG,-0.6280896067619324
7,AI2,ATSC3d,-1.0442650198936463
8,AI2,Kappa3,-1.0880404829978942
9,AI2,VSA_EState3,-0.5827406585216522
10,Human,AATSC3d,-0.23561190366744994
11,Human,ABCGG,-0.1769705057144165
12,Human,ATSC3d,-0.285178005695343
13,Human,Kappa3,-0.216790509223938
14,Human,VSA_EState3,-0.2707002401351929
15,Random,AATSC3d,0.2082072377204895
16,Random,ABCGG,0.50799640417099
17,Random,ATSC3d,0.24766392707824708
18,Random,Kappa3,0.2132384181022644
19,Random,VSA_EState3,0.4046222448348999
